dishname,price,shopid
"BLACK PINK黑粉炸鸡(350g)",23.9,407
F+牛肉饭,16,608
三线鲜肉大馄饨,10,105
三鲜丸子拌饭,15,405
三鲜丸子锅仔+米饭,15.4,304
三鲜火锅米线,13,605
三鲜炒饭（面/粉）,12,109
三鲜肉水饺,13,205
上校鸡块,8,402
上汤西兰花,6.6,301
上海酱鸭面/粉,15,204
五花肉烤肉饭,16.72,306
五花肉铁板意面/米饭,16,603
五谷杂粮汁,3.5,201
五香兰花干,2,501
五香大排面/粉,15,203
五香牛肉炒饭（面/粉）,14,109
五香鸡腿面/粉,13,203
五香鸭腿面/粉,15,203
京酱肉丝拌面,12,104
任意双拼煲仔饭,17.6,311
全家福水饺,13,205
八宝粥,2,201
八宝粥,2,502
养生酸汤鱼,16,402
养生黑米浆,8,602
农家小炒肉,15,202
农家小炒肉,17.6,303
冰柠可乐,6,602
冰柠芬达,6,602
冰柠雪碧,6,602
冰红茶气泡水,4,606
刀豆土豆,7.6,301
剁椒肉丝炒饭（面/粉）,12,109
劲爆鸡米花,6,407
包心贡丸,2.75,304
包心鱼丸,2.75,304
包菜粉丝,2.2,102
北京烤鸭堡,18,602
千煎带鱼,4.5,501
千页豆腐炒肉,14,202
午餐肉火锅米线,14,605
午餐肉铁板意面/米饭,14,603
半只鸡火锅米线,16,605
南乳焖肉,11,301
南昌拌粉＋绿豆汤,9,605
南洋鸡肉卷,12,602
南瓜粥,2,502
博罗尼亚肉酱意面,17,401
卤汁翅根饭,15,110
卤汁肉肠饭,13,110
卤汁鸡排饭,15,110
卤汁鸡腿饭,15,110
卤汁鸭腿饭,15,110
卤肉面,15,403
卤肉饭,14.3,304
卤蛋,2,107
卤蛋,2.2,302
卤香肉茶泡饭,16,607
卷心菜粉丝,4.95,301
卷心菜鸡肉水饺,11,205
厚切猪排咖喱饭,19,401
原味猪肚鸡,17.6,308
原味豆浆,2.5,502
原味钵钵鸡,16.5,308
原味鸡块,6,407
原味鸡腿面/粉,14,203
又烧肉+特色脆皮五花肉,22,404
叉烧饭,16,404
双拼肉拌饭,20,405
发糕,2,502
口水鸡,7,601
口水鸡拌面/粉,14,204
口水鸡面/粉,14,204
可乐鸡,17.6,310
可乐鸡,12,608
可乐鸡肉饭,16,110
可乐鸡茶泡饭,15,607
可爱番茄猪肚鸡,17.6,308
